,date,Open,High,Low,Close,bitcoin
19634,2017-03-28 19:00:00,1034.71,1037.77,1014.9,1025.59,1.51285241604
19635,2017-03-28 20:00:00,1025.59,1034.03,1023.86,1028.69,1.55670321071
19636,2017-03-28 21:00:00,1028.69,1040.0,1028.69,1036.32,1.55670321071
19637,2017-03-28 22:00:00,1035.68,1042.62,1030.77,1040.61,1.68825559472
19638,2017-03-28 23:00:00,1040.11,1047.22,1039.69,1043.99,1.62247940271
19639,2017-03-29 00:00:00,1042.83,1042.91,1027.6,1034.88,1.53477781338
19640,2017-03-29 01:00:00,1035.67,1035.67,1027.48,1031.31,1.57862860805
19641,2017-03-29 02:00:00,1030.57,1032.88,1010.17,1016.57,1.62247940271
19642,2017-03-29 03:00:00,1015.82,1018.2,1008.16,1010.8,1.73210638938
19643,2017-03-29 04:00:00,1009.59,1021.12,1009.59,1019.26,1.64440480005
19644,2017-03-29 05:00:00,1019.12,1026.96,1019.12,1026.73,1.62247940271
19645,2017-03-29 06:00:00,1026.73,1026.73,1008.2,1014.17,1.44707622404
19646,2017-03-29 07:00:00,1013.23,1020.2,1010.5,1014.27,1.46900162138
19647,2017-03-29 08:00:00,1015.26,1037.5,1011.64,1035.12,1.42515082671
19648,2017-03-29 09:00:00,1035.12,1037.5,1010.98,1037.01,1.44707622404
